epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,369.386,0.47206,0.42785,0.80538,0.84836,0.68002,0.63856,0.51076,0.43624,0.44343,0.82575,0.00317304,0.00105768,0.00317304,0.00105768,0.00317304,0.00105768,0.00317304,0.00105768
31,381.561,0.5162,0.44569,0.7999,0.90116,0.69432,0.64968,0.5286,0.41775,0.4492,0.8193,0.00323445,0.00107815,0.00323445,0.00107815,0.00323445,0.00107815,0.00323445,0.00107815
32,393.827,0.48123,0.42664,0.79482,0.82528,0.69473,0.64088,0.5142,0.41039,0.45139,0.82475,0.00329288,0.00109763,0.00329288,0.00109763,0.00329288,0.00109763,0.00329288,0.00109763
33,405.993,0.46047,0.41832,0.79849,0.82528,0.69473,0.64088,0.5142,0.41039,0.45139,0.82475,0.00334835,0.00111612,0.00334835,0.00111612,0.00334835,0.00111612,0.00334835,0.00111612
34,418.21,0.46028,0.42666,0.79423,0.90052,0.69409,0.65233,0.52748,0.4236,0.44975,0.82731,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,430.225,0.51977,0.45476,0.82609,0.85273,0.69473,0.65388,0.53101,0.39788,0.4382,0.82538,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,442.371,0.48911,0.48291,0.81858,0.8755,0.69473,0.65274,0.52578,0.41453,0.44035,0.82499,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,454.403,0.50961,0.43299,0.812,0.8755,0.69473,0.65274,0.52578,0.41453,0.44035,0.82499,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,466.621,0.45244,0.4455,0.82442,0.83192,0.69473,0.64141,0.51068,0.41312,0.44299,0.82606,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,478.899,0.44233,0.3692,0.80707,0.88759,0.69284,0.65059,0.53022,0.39387,0.42558,0.82455,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,491.132,0.52299,0.49359,0.86804,0.87003,0.68737,0.64989,0.52489,0.38709,0.42891,0.82114,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,503.24,0.45824,0.44123,0.82032,0.87003,0.68737,0.64989,0.52489,0.38709,0.42891,0.82114,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,515.368,0.44304,0.40801,0.8066,0.86927,0.68737,0.64946,0.52964,0.38699,0.41606,0.82006,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,527.603,0.47521,0.43624,0.82489,0.87613,0.69292,0.65195,0.52448,0.39431,0.43326,0.81952,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,540.067,0.45037,0.39955,0.80666,0.8649,0.69255,0.6453,0.52328,0.40031,0.45498,0.82056,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,552.12,0.42097,0.36899,0.8058,0.8649,0.69255,0.6453,0.52328,0.40031,0.45498,0.82056,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,564.19,0.51245,0.4511,0.82327,0.86292,0.68737,0.6534,0.53448,0.39163,0.44911,0.82173,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,576.625,0.45824,0.44207,0.82524,0.87046,0.68737,0.65232,0.52774,0.40661,0.44141,0.82255,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,589.495,0.45155,0.40234,0.8212,0.85112,0.68737,0.652,0.53449,0.39218,0.43258,0.82224,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,601.545,0.46329,0.384,0.81009,0.85112,0.68737,0.652,0.53449,0.39218,0.43258,0.82224,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,613.8,0.43641,0.37356,0.81226,0.87961,0.68737,0.65417,0.52789,0.40346,0.43406,0.82269,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,625.882,0.42064,0.34263,0.79859,0.85069,0.68737,0.65181,0.53548,0.38565,0.41577,0.81875,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,637.991,0.41397,0.34604,0.79069,0.88056,0.68737,0.65443,0.5362,0.38365,0.41814,0.81843,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,650.233,0.44222,0.38287,0.80582,0.88056,0.68737,0.65443,0.5362,0.38365,0.41814,0.81843,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,662.432,0.46802,0.38708,0.80941,0.87287,0.68737,0.6547,0.54031,0.37684,0.39644,0.81616,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,674.593,0.43642,0.34972,0.79745,0.85866,0.68737,0.65254,0.53957,0.38824,0.39276,0.81629,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,686.535,0.50095,0.40025,0.79808,0.87707,0.68737,0.65739,0.54513,0.36945,0.37543,0.81297,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,698.583,0.44808,0.38215,0.83155,0.87707,0.68737,0.65739,0.54513,0.36945,0.37543,0.81297,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,710.692,0.43923,0.38649,0.81367,0.8459,0.68737,0.65489,0.5459,0.36317,0.3692,0.81006,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,722.823,0.44236,0.39524,0.80736,0.8497,0.68737,0.65384,0.54082,0.37404,0.37222,0.81083,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
