epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,956.155,1.2218,4.56997,0.76949,0.99566,0.92857,0.9613,0.65078,1.08152,4.48638,0.86117,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,988.648,1.4007,5.00233,0.78396,0.99557,0.92857,0.96583,0.67624,1.1089,4.15298,0.86606,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,1021.13,1.35986,4.98673,0.79518,0.99512,0.92857,0.97167,0.67971,1.03177,4.02386,0.86104,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,1053.57,1.21933,4.26035,0.79445,0.99478,0.92857,0.974,0.68022,1.20595,4.12718,0.8645,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,1086.09,1.38935,4.16284,0.78925,0.99422,0.92857,0.97167,0.67642,1.14655,3.92389,0.86185,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,1118.57,1.24861,4.64412,0.80214,0.99377,0.92857,0.97167,0.67556,1.16222,3.95823,0.8589,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,1151.2,1.32495,3.97212,0.75352,0.99396,0.92857,0.97658,0.71453,1.02771,3.75243,0.85523,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,1184.07,1.16542,4.48132,0.77026,0.99493,0.92857,0.98265,0.69567,1.13185,3.54982,0.86368,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,1216.87,1.3155,3.58037,0.76735,0.99547,0.92857,0.99033,0.69409,1.16178,3.41858,0.86041,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,1249.7,1.18967,3.44244,0.77677,1,0.99437,0.995,0.74516,0.9519,3.20096,0.85209,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,1282.55,1.20938,3.4521,0.81747,0.99582,0.92857,0.99033,0.67347,1.04692,3.13669,0.85184,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,1315.38,1.13538,3.0091,0.80082,0.99523,0.92857,0.98625,0.7202,0.97177,3.14523,0.85107,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,1348.26,1.13137,3.3671,0.7683,0.99497,0.92857,0.99033,0.68097,1.11456,3.0971,0.8542,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,1381.28,0.97563,3.33237,0.75604,0.99436,0.92857,0.99033,0.69254,1.04009,2.97381,0.85226,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,1414.24,1.0708,3.16227,0.81093,0.99378,0.92857,0.99033,0.72453,0.96923,2.94441,0.8517,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,1447.21,1.14739,3.36194,0.78832,1,0.99425,0.995,0.67852,1.06829,2.81538,0.85603,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,1480.2,1.13122,3.30975,0.77816,1,0.9944,0.995,0.72483,0.99797,2.74635,0.85187,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,1512.98,1.03018,3.34817,0.76677,1,0.99401,0.995,0.68222,1.01182,2.77936,0.85306,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,1545.85,0.98544,3.21133,0.76324,1,0.99416,0.995,0.68389,1.04636,2.51234,0.84892,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,1578.9,1.21096,2.9737,0.76832,1,0.99458,0.995,0.68562,0.99739,2.60868,0.85155,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,1612.06,1.07749,3.15005,0.77866,0.99424,0.92857,0.99033,0.67873,1.09373,2.63994,0.85174,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,1645.33,1.17499,2.57705,0.79088,1,0.99472,0.995,0.68735,1.07239,2.62954,0.84957,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,1678.42,1.17664,2.76803,0.7403,1,0.99493,0.995,0.69799,1.04742,2.50736,0.85641,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,1711.55,0.96932,2.60221,0.76954,1,0.99486,0.995,0.72731,1.01162,2.60224,0.85245,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,1744.88,0.99966,2.68414,0.74104,0.9946,0.92857,0.99033,0.67952,1.16075,2.50996,0.85372,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,1777.95,1.17147,2.68684,0.7904,1,0.99424,0.995,0.73835,1.02582,2.55533,0.84463,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,1811.18,0.94833,2.58943,0.75944,1,0.99458,0.995,0.7063,1.10029,2.41236,0.84874,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,1844.31,0.92856,2.89857,0.74255,1,0.99496,0.995,0.74218,1.07212,2.50432,0.84841,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,1877.63,1.0623,2.50313,0.80287,1,0.99496,0.995,0.73821,1.07567,2.44362,0.84998,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,1910.74,1.01394,2.35741,0.76541,1,0.99505,0.995,0.74215,1.05811,2.29747,0.85044,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,1943.81,1.04752,2.65509,0.76674,1,0.99514,0.995,0.754,0.99987,2.23113,0.85202,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,1976.94,0.94619,3.17721,0.74785,1,0.99502,0.995,0.721,1.07197,2.16732,0.8506,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,2010.14,1.10884,2.3326,0.7966,1,0.99481,0.995,0.74182,0.9598,2.19016,0.84952,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,2043.32,0.96388,2.05987,0.79816,1,0.99481,0.995,0.74707,0.95385,2.094,0.8503,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,2076.64,0.94653,2.29983,0.77023,1,0.99466,0.995,0.70046,1.06823,2.05623,0.85251,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,2109.97,1.01663,2.2708,0.80476,1,0.99461,0.995,0.7354,1.01146,2.07097,0.84924,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,2143.29,0.96932,2.31223,0.77506,1,0.99476,0.995,0.71264,1.06382,2.08851,0.84908,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,2176.63,1.05294,2.16476,0.77549,1,0.99438,0.995,0.71954,1.10116,2.08024,0.85094,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,2209.45,0.97409,2.39481,0.78864,1,0.99404,0.995,0.73234,1.04954,2.09142,0.84899,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,2242.05,1.04921,2.31837,0.77689,1,0.99375,0.995,0.69519,1.13262,2.05864,0.85349,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,2275.63,0.91316,1.98154,0.75867,1,0.99381,0.995,0.70715,1.12759,2.07538,0.851,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,2308.93,0.96278,2.10019,0.80844,1,0.99407,0.995,0.73485,1.08847,2.05995,0.8476,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,2342.75,0.97924,2.27014,0.79048,1,0.99455,0.995,0.6833,1.20553,2.05076,0.84945,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,2376.18,1.01108,1.94751,0.7619,0.99516,0.92857,0.99033,0.71911,1.12274,2.02536,0.84729,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,2409.33,1.02632,2.08197,0.76019,0.99519,0.92857,0.99033,0.72091,1.08811,1.955,0.84975,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,2443.09,0.94913,2.09086,0.77101,0.99528,0.92857,0.99033,0.72164,1.05093,1.88451,0.85104,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,2476.16,0.88044,2.02384,0.72556,0.99528,0.92857,0.99033,0.70501,1.09446,1.90388,0.85045,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,2509.38,0.96229,1.69003,0.78092,0.99542,0.92857,0.99033,0.70345,1.14841,1.92032,0.85227,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,2542.16,0.9813,2.36058,0.75467,0.99548,0.92857,0.99033,0.70364,1.12829,1.87981,0.85247,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,2575.37,0.87359,1.8288,0.78107,0.99546,0.92857,0.99033,0.70907,1.08336,1.82898,0.84885,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,2608.63,0.91786,1.90385,0.79015,0.99539,0.92857,0.99033,0.6958,1.07064,1.86369,0.84543,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,2641.71,0.96612,1.91952,0.76448,0.99525,0.92857,0.99033,0.7077,1.04652,1.85653,0.84498,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,2674.5,0.86753,1.9902,0.71194,0.99531,0.92857,0.99033,0.71858,1.04268,1.80528,0.84778,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,2708.05,1.07924,2.36328,0.77505,0.99541,0.92857,0.99033,0.72394,1.00597,1.81046,0.84666,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
