epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,702.569,0.82342,2.4828,0.83399,1,0.99407,0.995,0.69891,1.22267,2.66341,0.91505,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
32,725.407,0.79007,2.69248,0.83198,1,0.99422,0.995,0.7401,1.14685,2.57267,0.89762,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275
33,748.13,0.84828,2.7825,0.85913,0.99499,0.90909,0.9875,0.74505,1.11032,2.47244,0.89766,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
34,770.954,0.85954,2.93554,0.82021,0.9945,0.90909,0.9875,0.75473,1.06315,2.37826,0.88347,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325
35,793.654,0.76174,2.73606,0.81319,0.9945,0.90909,0.9875,0.75473,1.06315,2.37826,0.88347,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
36,816.454,0.8103,2.3338,0.84213,0.99487,0.90909,0.9875,0.75765,1.08526,2.36625,0.88878,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375
37,839.432,0.85183,2.57032,0.8348,0.99562,0.90909,0.9875,0.74271,1.1083,2.28602,0.88857,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
38,862.403,0.80631,2.43583,0.83291,0.99576,0.90909,0.9875,0.7474,1.1178,2.25302,0.89667,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425
39,885.231,0.75353,2.41369,0.83521,0.99576,0.90909,0.9875,0.7474,1.1178,2.25302,0.89667,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
40,908.171,0.77247,2.28902,0.82731,0.9953,0.90909,0.9875,0.73398,1.03063,2.13746,0.87547,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475
41,931.09,0.79506,2.39179,0.8146,0.99537,0.90909,0.9875,0.77761,0.99794,2.06929,0.86173,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
42,954.149,0.87172,2.19561,0.84725,0.99467,0.90909,0.9875,0.75753,1.0176,2.06815,0.86653,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525
43,977.228,0.76612,2.49435,0.81887,0.99467,0.90909,0.9875,0.75753,1.0176,2.06815,0.86653,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
44,1000.32,0.82715,2.21291,0.80714,1,0.99336,0.995,0.7843,1.00702,1.95402,0.86857,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575
45,1023.49,0.70405,2.0922,0.77804,1,0.99358,0.995,0.80183,1.01331,1.95462,0.8728,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
46,1046.63,0.73287,1.85902,0.79561,1,0.9937,0.995,0.79711,0.99322,1.96527,0.86365,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625
47,1069.79,0.71262,1.83305,0.82348,1,0.9937,0.995,0.79711,0.99322,1.96527,0.86365,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
48,1092.88,0.85368,2.29263,0.84644,1,0.99412,0.995,0.78811,1.02563,1.93222,0.86859,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675
49,1116.07,0.78051,2.31408,0.80516,1,0.99354,0.995,0.78451,1.05117,1.96086,0.87098,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
50,1139.3,0.78499,2.01058,0.81789,1,0.99356,0.995,0.79414,1.04224,1.96606,0.87457,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725
51,1162.47,0.71365,1.98025,0.79821,1,0.99356,0.995,0.79414,1.04224,1.96606,0.87457,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
52,1185.75,0.73624,1.92002,0.83571,1,0.99382,0.995,0.78605,1.03156,1.86748,0.87373,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775
53,1208.95,0.73449,1.95271,0.82066,1,0.99417,0.995,0.76959,1.06657,1.83989,0.8801,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
54,1232.22,0.78952,1.75536,0.79801,1,0.99418,0.995,0.77859,1.03568,1.82493,0.87475,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825
55,1255.47,0.72854,1.89082,0.82872,1,0.99418,0.995,0.77859,1.03568,1.82493,0.87475,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
56,1278.82,0.79854,1.92579,0.81199,1,0.99462,0.995,0.78669,1.04244,1.73842,0.87677,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875
57,1302.19,0.77809,1.83481,0.8449,1,0.99455,0.995,0.77567,1.02749,1.73057,0.87223,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
58,1325.6,0.64553,1.88223,0.80084,1,0.99472,0.995,0.78811,0.98988,1.72645,0.86225,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925
59,1348.89,0.75614,1.89512,0.86034,1,0.99472,0.995,0.78811,0.98988,1.72645,0.86225,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
60,1372.3,0.74728,2.29795,0.79519,1,0.99453,0.995,0.78811,0.99741,1.71055,0.8648,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975
